Elo	Username	W	L	T	Last update
1439.5884482595886	Digital Edge - ⓑⓔⓓ	48	9	0	Mon Aug 29 2016 22:09:58 GMT+0000 (UTC)
1372.9636923340472	Elcrest ☢	29	11	0	Tue Aug 30 2016 08:59:49 GMT+0000 (UTC)
1269.6315037390668	ShinxTheJinx	16	7	0	Mon Aug 29 2016 03:43:12 GMT+0000 (UTC)
1234.9568840058905	charizard8888	23	13	0	Tue Aug 30 2016 16:56:23 GMT+0000 (UTC)
1229.461588279784	XpRienzo ☑◡☑ - ⒹⓃⒹ	7	0	0	Sun Aug 28 2016 15:45:18 GMT+0000 (UTC)
1226.2460024407612	Digital Flame	10	4	0	Mon Aug 29 2016 03:25:36 GMT+0000 (UTC)
1203.3564668593972	Lost ☾ Cause 146	24	22	0	Mon Aug 29 2016 22:13:46 GMT+0000 (UTC)
1199.5483940614936	FlareonDriod	74	107	0	Mon Aug 29 2016 05:22:32 GMT+0000 (UTC)
1150.4924900900805	Snaquaza	3	0	0	Mon Aug 29 2016 19:35:31 GMT+0000 (UTC)
1146.2725036547506	Spandan	3	1	0	Tue Aug 30 2016 16:21:24 GMT+0000 (UTC)
1132.8142699749667	Zmeeed •'◡'•	3	0	0	Mon Aug 29 2016 17:59:50 GMT+0000 (UTC)
1127.5238627616668	BatterBotto	70	137	0	Tue Aug 30 2016 16:56:23 GMT+0000 (UTC)
1069.0315689398037	LifeIsABlackHole	1	0	0	Tue Aug 30 2016 16:12:18 GMT+0000 (UTC)
1066.463803542789	lemayju77	1	1	0	Sun Aug 28 2016 15:57:07 GMT+0000 (UTC)
1060.1010101812365	SnakeXZero5 ☎	1	1	0	Mon Aug 29 2016 03:43:22 GMT+0000 (UTC)
1059.9909617004882	AFKsei	1	1	0	Sun Aug 28 2016 15:41:42 GMT+0000 (UTC)
