Punishment	Room ID:User ID	IPs and alts	Expires
BLACKLIST	lobby:cynsylveon	174.53.184.3	1507136538842	RP shit
BLACKLIST	animeandmanga:blastergoku	117.223.198.54	1515664801387	no voice 4 u
BLACKLIST	development:outrageousbot	130.211.242.207	1521621434356	Why even are you here? You trigger me. LMAO
TOURBAN	lobby:talonflame		1507496790932	
TOURBAN	lobby:scouting		1507497423691	
TOURBAN	lobby:fug	!fug	1507498079546	
TOURBAN	lobby:badmemes	bad memes	1507498106554	
TOURBAN	lobby:oof	oof	1507498164330	
TOURBAN	lobby:tyranitar	tyranitar	1507516363084	
TOURBAN	lobby:pelipper	pelipper	1507516463115	
TOURBAN	lobby:klang	klang	1507516508950	minior
