Zmeeed,+
Ransei,~
theswordbreaker,+
Snaquaza,~
Dragitbot,*
toolboxe,+
OriolesFan52,+
ClassyZ,@
Alpha Shivam,&
ScarfWynaut,+
BBgun999 ⚡,&
SpiderKoloPL,+
The True Falcon,+
Ebhainia,%
Tamatomo,+
Winona,&
Skeletris(>^‿‿^)>,+
Spects,+
HoeenHero,+
AbysmalBot,+
XpRienzo,⚔
nv,+
Zaph1337,+
awailofatail,+
TimeZone,+
bellematon,*
Mistress Midnight,$
EchoGaia,&
Taveena,+
Flurbel,&
Army general, 
Ethereal cutamint, 
Zapmaster2010,&
Ludicrousity,&
zygten,&
Zard8888,%
charizard8888,~
BatterBotto,*
OutrageousBoT,*
Snaq (,~
Spandan,+
flufi,%
Pika Xreme,@
nixola,~
RPS Bot,*
UncleFlacco,+
amblood,@
Zyg-10%,&
TheGreatSpoondini,&
pieddychomp,%
Emperor,+
shwb,%
Reviloja753,%
Iron Crusher,@
shivay,&
stratospheres,@
Spoon(TGS),@
aCasualMemeLord,@
Flaming Deoxys,*
lmni,+
sMeLlsLi〰KemEMe),@
Phoenix Scythe™,$
