00:00:16 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
01:00:16 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
01:02:03 |j|%normanz1283
01:02:45 |c|%normanz1283|.bj new
01:02:45 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
01:02:50 |c|%normanz1283|.join
01:02:53 |c|%normanz1283|.start
01:02:53 |c|*OutrageousBoT|Top Card - normanz1283: [♥10]
01:02:53 |c|*OutrageousBoT|**Dealer's Top Card: [♣3]**
01:02:54 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
01:03:00 |c|%normanz1283|.hit
01:03:03 |c|%normanz1283|.hit
01:03:04 |c|*OutrageousBoT|normanz1283 has busted with 22!
01:03:05 |c|*OutrageousBoT|The Dealer has 18
01:03:06 |c|*OutrageousBoT|Sorry, no winners this time.
01:03:07 |c|%normanz1283|.bj new
01:03:07 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
01:03:10 |c|%normanz1283|.join
01:03:14 |c|%normanz1283|.start
01:03:14 |c|*OutrageousBoT|Top Card - normanz1283: [♥3]
01:03:15 |c|*OutrageousBoT|**Dealer's Top Card: [♦2]**
01:03:16 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
01:03:20 |c|%normanz1283|.hit
01:03:23 |c|%normanz1283|.hit
01:03:24 |c|*OutrageousBoT|normanz1283 has busted with 24!
01:03:24 |c|*OutrageousBoT|The Dealer has a BlackJack! Better luck next time!
01:03:25 |c|*OutrageousBoT|Sorry, no winners this time.
01:03:29 |c|%normanz1283|.bj new
01:03:29 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
01:03:32 |c|%normanz1283|.join
01:03:34 |c|%normanz1283|.start
01:03:34 |c|*OutrageousBoT|Top Card - normanz1283: [♣A]
01:03:35 |c|*OutrageousBoT|**Dealer's Top Card: [♠3]**
01:03:36 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
01:03:39 |c|%normanz1283|.hit
01:03:42 |c|%normanz1283|.stay
01:03:42 |c|*OutrageousBoT|The Dealer has 19
01:03:43 |c|*OutrageousBoT|The winners are: normanz1283. Rewards: 50 points
01:04:21 |c|%normanz1283|.bj new
01:04:22 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
01:04:24 |c|%normanz1283|.join
01:04:26 |c|%normanz1283|.start
01:04:26 |c|*OutrageousBoT|Top Card - normanz1283: [♣J]
01:04:27 |c|*OutrageousBoT|**Dealer's Top Card: [♦9]**
01:04:27 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
01:04:30 |c|%normanz1283|.stay
01:04:31 |c|*OutrageousBoT|The Dealer has 19
01:04:31 |c|*OutrageousBoT|The winners are: normanz1283. Rewards: 50 points
01:04:35 |c|%normanz1283|.hangman
01:04:35 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
01:04:36 |c|*OutrageousBoT|_ _ _ _ _ _ _ | [Pokémon] |
01:04:38 |c|%normanz1283|.g a
01:04:39 |c|%normanz1283|.g e
01:04:43 |c|*OutrageousBoT|_ _ _ _ _ _ _ | [Pokémon] | a e
01:04:45 |c|%normanz1283|.g i
01:04:46 |c|%normanz1283|.g o
01:04:51 |c|*OutrageousBoT|_ _ _ _ _ o o | [Pokémon] | a e i
01:04:56 |c|%normanz1283|.g u
01:04:59 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i
01:05:08 |c|%normanz1283|.g r
01:05:08 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r
01:05:09 |c|%normanz1283|.g s
01:05:10 |c|%normanz1283|.g t
01:05:16 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r s t
01:05:20 |c|%normanz1283|.g m
01:05:21 |c|%normanz1283|.g n
01:05:24 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r s t m n
01:05:29 |c|%normanz1283|wtf???
01:05:36 |c|%normanz1283|.g p
01:05:36 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r s t m n p
01:05:38 |c|%normanz1283|.g l
01:05:44 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r s t m n p l
01:06:01 |c|%normanz1283|.g g
01:06:01 |c|*OutrageousBoT|_ u _ _ _ o o | [Pokémon] | a e i r s t m n p l g
01:06:04 |c|%normanz1283|.g h
01:06:09 |c|*OutrageousBoT|_ u _ _ h o o | [Pokémon] | a e i r s t m n p l g
01:06:25 |c|%normanz1283|.g cubchoo
01:06:25 |c|*OutrageousBoT|Congratulations, normanz1283 has won the game and recieves  20 points! The correct answer was: Cubchoo
01:06:26 |c|%normanz1283|gdi
01:06:34 |c|%normanz1283|.anagrams
01:06:34 |c|*OutrageousBoT|Hosting a game of anagrams. Use +g to submit your answer. First to 5 points wins!
01:06:51 |c|*OutrageousBoT|[Pokémon Move] d, l, o, s, a, b, y, m
01:07:07 |c|%normanz1283|.g bodyslam
01:07:07 |c|*OutrageousBoT|normanz1283 got the right answer, and has 1 points!
01:07:08 |c|*OutrageousBoT|[Pokémon Move] d, g, m, t, j, e, u, n
01:07:25 |c|*OutrageousBoT|The correct answer was: Judgment
01:07:26 |c|*OutrageousBoT|[Pokémon Item] e, s, m, o, p, n, g, o, i
01:07:38 |c|%normanz1283|.g poisongem
01:07:39 |c|*OutrageousBoT|normanz1283 got the right answer, and has 2 points!
01:07:42 |c|*OutrageousBoT|[Pokémon] k, l, o, t, a, s, h
01:07:59 |c|*OutrageousBoT|The correct answer was: Slakoth
01:08:00 |c|*OutrageousBoT|[PKMN Location - Johto] o, u, r, l, p, s, h, n, i, a, f
01:08:16 |c|*OutrageousBoT|The correct answer was: Ruins of Alph
01:08:17 |c|*OutrageousBoT|[Pokémon Move] n, a, r, u, p, c, d, i, n, h
