00:17:42 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
01:17:42 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
02:17:42 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
02:48:52 |j|@iCone
03:15:36 |l|@iCone
03:17:42 |userstats|total:1|guests:0| :0|+:0|$:0|%:0|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
04:06:12 |j|%normanz1283
04:07:23 |c|%normanz1283|.top
04:07:24 |c|*OutrageousBoT|Top (chillin): #1: icone - ``4530`` | #2: abd1710 - ``1822`` | #3: normanz1283 - ``1450`` | #4: tamatomo - ``592`` | #5: outrageousbot - ``310``
04:07:28 |c|%normanz1283|.bj new
04:07:28 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
04:07:29 |c|%normanz1283|.join
04:07:31 |c|%normanz1283|.start
04:07:31 |c|*OutrageousBoT|Top Card - normanz1283: [♦Q]
04:07:32 |c|*OutrageousBoT|**Dealer's Top Card: [♦3]**
04:07:33 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
04:07:35 |c|%normanz1283|.stay
04:07:35 |c|*OutrageousBoT|The Dealer has 19
04:07:36 |c|*OutrageousBoT|The winners are: normanz1283. Rewards: 50 points
04:07:41 |c|%normanz1283|.bj new
04:07:41 |c|*OutrageousBoT|A new game of blackjack is starting. do +join to join the game!
04:07:43 |c|%normanz1283|.join
04:07:44 |c|%normanz1283|.start
04:07:44 |c|*OutrageousBoT|Top Card - normanz1283: [♦5]
04:07:45 |c|*OutrageousBoT|**Dealer's Top Card: [♦9]**
04:07:45 |c|*OutrageousBoT|normanz1283's turn! __(+hit or +stay)__
04:07:47 |c|%normanz1283|.hit
04:07:48 |c|*OutrageousBoT|normanz1283 has busted with 23!
04:07:49 |c|*OutrageousBoT|The Dealer has 19
04:07:50 |c|*OutrageousBoT|Sorry, no winners this time.
04:07:53 |c|%normanz1283|.hangman
04:07:53 |c|*OutrageousBoT|Hosting a game of Hangman. Use +g to guess.
04:07:54 |c|*OutrageousBoT|_ _ _ _ / _ _ | [Pokémon Move] |
04:08:03 |c|%normanz1283|.g a
04:08:03 |c|*OutrageousBoT|_ _ a _ / _ _ | [Pokémon Move] |
04:08:04 |c|%normanz1283|.g e
04:08:05 |c|%normanz1283|.g i
04:08:06 |c|%normanz1283|.g o
04:08:07 |c|%normanz1283|.g u
04:08:11 |c|*OutrageousBoT|_ e a _ / U _ | [Pokémon Move] | i o u
04:08:44 |c|%normanz1283|.g beatup
04:08:44 |c|*OutrageousBoT|Congratulations, normanz1283 has won the game and recieves  20 points! The correct answer was: Beat Up
04:08:46 |c|%normanz1283|.kunc
04:08:46 |c|*OutrageousBoT|``Moveset: Stealth Rock, Ice Beam, Psychic, Signal Beam.`` Use +g to guess the Pokemon.
04:08:50 |c|%normanz1283|.end
04:08:50 |c|*OutrageousBoT|The game of kunc has ended. The correct answer is: Mesprit
04:08:53 |c|%normanz1283|.kunc
04:08:53 |c|*OutrageousBoT|``Moveset: Stone Edge, Bulk Up, Aqua Jet, Waterfall.`` Use +g to guess the Pokemon.
04:09:00 |c|%normanz1283|.g floatzel
04:09:04 |c|%normanz1283|wtf???
04:17:40 |c|%normanz1283|.end
04:17:40 |c|*OutrageousBoT|The game of kunc has ended. The correct answer is: Arghonaut
04:17:42 |userstats|total:2|guests:0| :0|+:0|$:0|%:1|@:0|*:1|★:0|#:0|&:0|~:0|⚔:0
04:17:45 |c|%normanz1283|.kunc
04:17:45 |c|*OutrageousBoT|``Moveset: Return, Protect, Iron Tail, Quick Attack.`` Use +g to guess the Pokemon.
04:17:57 |c|%normanz1283|.g lairon
04:17:58 |c|%normanz1283|.end
04:17:58 |c|*OutrageousBoT|The game of kunc has ended. The correct answer is: Eevee
04:18:05 |c|%normanz1283|.trivia
04:18:05 |c|*OutrageousBoT|Hosting a game of trivia. First to 5 points wins!  use +g or +ta to submit your answer.
04:18:22 |c|*OutrageousBoT|Question: __What is Liepard's hidden ability?__
04:18:39 |c|*OutrageousBoT|The correct answer is: prankster
04:18:40 |c|*OutrageousBoT|Question: __What is the subtitle of the first Pokémon movie?__
04:18:56 |c|*OutrageousBoT|The correct answer is: mewtwostrikesback
04:18:57 |c|*OutrageousBoT|Question: __What Pokemon evolves when it levels up with a Remoraid in the party?__
