00:20:39 |l|+OutrageousBoT
00:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
01:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
02:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
03:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
04:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
05:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
06:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
07:32:34 |userstats|total:0|guests:0| :0|+:0|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
07:41:54 |j|+OutrageousBoT
08:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
09:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
10:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
11:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
12:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
13:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
14:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
15:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
16:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
17:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
18:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
19:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
20:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
21:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
22:15:25 |j| WillRBX
22:17:22 |l| WillRBX
22:17:53 |j| WillRBX
22:25:05 |l| WillRBX
22:26:19 |j| WillRBX
22:32:34 |userstats|total:2|guests:0| :1|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
23:26:42 |l| WillRBX
23:32:34 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
