00:00:37 |l| Ransei
00:01:22 |c| ItsTheGrandShack|Can I battle the bots here?
00:01:29 |c| EmperorGaming|yeah
00:01:33 |c| EmperorGaming|batterbotto
00:01:35 |c| ItsTheGrandShack|thx
00:01:44 |c| EmperorGaming|but not outrageousbot
00:01:52 |c| EmperorGaming|he cant battle
00:02:25 |c| ItsTheGrandShack|I sent BatterBotto a chuunmons request, but it's not really responding...
00:02:33 |c| EmperorGaming|hmm
00:02:45 |c| EmperorGaming|it works with randomized metas
00:02:58 |c| EmperorGaming|the bots dont have teams for things like choonmons
00:03:07 |c| ItsTheGrandShack|Oh okay, thx
00:03:08 |l| kk eae men
00:03:26 |c| EmperorGaming|ik that they have one for ff but thats all
00:03:39 |c| EmperorGaming|(That i know)
00:09:10 |userstats|total:8|guests:0| :4|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:1|~:0|⚔:0
00:13:47 |l| ItsTheGrandShack
00:14:15 |l| KesAtchum
00:19:10 |userstats|total:6|guests:0| :2|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:1|~:0|⚔:0
00:19:11 |c|&Diarmuid O'Dyna|tes
00:19:22 |c|@OriolesFan52|wb dyna
00:19:29 |c|&Diarmuid O'Dyna|+q
00:19:29 |c|*OutrageousBoT|+flufi~(˘▾˘~) has 4 Dragon Dollars. $flufi~(˘▾˘~): I can buy California with this
00:19:33 |c|&Diarmuid O'Dyna|YAY
00:19:34 |c|&Diarmuid O'Dyna|+q
00:19:34 |c|*OutrageousBoT|&charizard8888: ALL HAIL CHAEZAID8888
00:19:37 |c|&Diarmuid O'Dyna|+q
00:19:37 |c|*OutrageousBoT|FlareonDriod has won the match 0 - 0 against BatterBotto.
00:19:39 |c|&Diarmuid O'Dyna|+q
00:19:39 |c|*OutrageousBoT|[17:32:08] &Diarmuid O'Dyna: orioles is not retarded.
00:19:42 |c|&Diarmuid O'Dyna|YES
00:19:45 |c|&Diarmuid O'Dyna|i was hoping ot get that one
00:19:50 |c|@OriolesFan52|LOL
00:19:53 |c|&Diarmuid O'Dyna|i was eating dinner and i just started cracking up thinking about that
00:20:04 |c| EmperorGaming|ahh
00:20:16 |c| EmperorGaming|shes bak
00:20:29 |c|&Diarmuid O'Dyna|+q
00:20:29 |c|*OutrageousBoT|&PI EddyChomp: Gourgeist + Moonlight + Hyper Beam = Moongeist Beam
00:20:30 |c|&Diarmuid O'Dyna|+q
00:20:31 |c|*OutrageousBoT|OutrageousBoT: All these quotes....lmao.....are next to.....
00:20:39 |c|&Diarmuid O'Dyna|+q
00:20:39 |c|*OutrageousBoT|#Amberdillo: smoke weedle everyday
00:20:41 |c|&Diarmuid O'Dyna|+q
00:20:41 |c|*OutrageousBoT|Conni: my jesus this is OM heaven
00:20:43 |c|&Diarmuid O'Dyna|+q
00:20:43 |c|*OutrageousBoT|-- ClassyZ - ⓢⓤⓒⓒ is now trashy.
00:20:45 |c|&Diarmuid O'Dyna|+q
00:20:45 |c|*OutrageousBoT|⚔XpRienzo ☑-☑: Don't give red card to outrageous lol, he'll ban you out of existence =P
00:20:49 |c|&Diarmuid O'Dyna|+q
00:20:49 |c|*OutrageousBoT|[17:32:10] @OriolesFan52: i broke my foot when it was asleep and didnt even feel it
00:20:51 |c|&Diarmuid O'Dyna|+q
00:20:51 |c|*OutrageousBoT|&Diarmuid O'Dyna: I WILL TAKE ALL YOUR FURNITURE HUE HUE HUE HUE
00:20:58 |c|&Diarmuid O'Dyna|+q
00:20:58 |c|*OutrageousBoT|[23:11:17] &ClassyZ - ⓉⓡⓐⓢⓗⓨⓏ: Brace for the crash nerds!
00:20:59 |c|&Diarmuid O'Dyna|+q
00:20:59 |c|*OutrageousBoT|%Diarmuid O'Dyna: bbl dont do anything too exciting without me ;-;
00:21:05 |c|&Diarmuid O'Dyna|+q
00:21:05 |c| EmperorGaming|hue hue hue hue
