00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
00:08:34 |c|$TimeZone|You suck bruh *,*
00:08:37 |c|$TimeZone|You realized 
00:08:46 |c| zygardes true core|no u do and u swallow
00:08:57 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user zygardes true core' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#ABA305'>zygardes true core:</font></b></button><em class='mine'><img src="http://i364.photobucket.com/albums/oo87/TailsTheFoxPrower/PAPSAV1.gif" title="buttslappichu" width="50" height="50" /></em></div>
00:09:03 |c| zygardes true core|hehehe
00:09:03 |c|$TimeZone|Stall Is easiest style to vs
00:09:12 |c|$TimeZone|You have tooooons of access to broke shit
00:09:16 |c|$TimeZone|*,*
00:09:19 |c| zygardes true core|exactly
00:09:26 |c|$TimeZone|how tf you lose lmao
00:09:27 |c| zygardes true core|if i did then i wouldve won
00:09:31 |c|$TimeZone|You had Xerneas x Lele
00:09:33 |c| zygardes true core|now rematch?
00:09:37 |c|$TimeZone|You could set up on Chansey
00:09:42 |c|$TimeZone|*,*
00:09:44 |c| zygardes true core|set up?
00:09:49 |c| zygardes true core|u had haze?
00:09:50 |c| zygardes true core|duh
00:09:50 |c|$TimeZone|You had geomancy 
00:09:52 |c|$TimeZone|bruh
00:09:54 |c| zygardes true core|eh so
00:09:57 |c|$TimeZone|You had terrain 
00:09:59 |c| zygardes true core|u had t spikes
00:10:02 |c|$TimeZone|You idiot
00:10:03 |c|$TimeZone|Lol
00:10:04 |c| zygardes true core|lets rematch
00:10:09 |c| zygardes true core|accept u noob
00:10:25 |c|$TimeZone|Lmfaoooo
00:10:28 |c|$TimeZone|>noon
00:10:30 |c|$TimeZone|B
00:10:34 |c|$TimeZone|scrubs say that
00:10:36 |c|$TimeZone|Tbh
00:10:39 |c|$TimeZone|;)
00:10:57 |c|$TimeZone|you had Terrain + Geo
00:11:15 |c|$TimeZone|You could of muscled past pex lmao
00:11:30 |c| zygardes true core|just go man
00:11:33 |c| zygardes true core|and accept
00:17:42 |userstats|total:10|guests:2| :6|+:0|$:1|%:0|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
00:22:27 |j| Spirit of Twilight
00:22:36 |c| zygardes true core|hey spirit of twilight
00:22:39 |c| zygardes true core|wanna battle?
00:22:44 |c| zygardes true core|frantic ubers?
00:22:48 |n|+Mistress Midnight|spiritoftwilight
00:22:53 |c| zygardes true core|frantic fusion ubers
00:23:00 |n| Spirit of Twilight|mistressmidnight
00:23:10 |c| Spirit of Twilight|sure
00:25:40 |c|$TimeZone|!Fuse Xerneas, Lunala, ghost 
00:25:40 |html|<div class="infobox"><b>Stats</b>: 131/122/92/134/102/98<br /><b>BST</b>:679<br /><b>Type:</b> Fairy/Psychic<br /><b>Abilities</b>: Fairy Aura + Shadow Shield<br /><b>Weight</b>: 167.5 kg</div>
00:25:44 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22138
00:26:10 |c|$TimeZone|Shit like this makes stall ez pray
00:26:12 |c|$TimeZone|;)
00:27:00 |c|$TimeZone|With the ghost typing tho
00:27:26 |c| Spirit of Twilight|Then make it shiny
00:27:33 |c|$TimeZone|Lmaooo
00:27:46 |c|$TimeZone|You OK Zygarde 
00:27:48 |c|$TimeZone|;)
00:27:59 |c|$TimeZone|I was a victim too tho ;(
00:28:02 |n| yveltalsdoom|zygardestruecore
00:28:06 |c|$TimeZone|I could of beat it though. 
00:28:10 |c|$TimeZone|But encore ,z,z
00:28:16 |c| yveltalsdoom|who was a victim?
00:28:31 |c|$TimeZone|of savages' glitched 
00:28:34 |c|$TimeZone|Glitches
00:28:34 |n| zygardes true core|yveltalsdoom
00:28:37 |c| zygardes true core|me
00:28:43 |c| zygardes true core|i was the victim sadly
00:28:45 |c| Spirit of Twilight|What happened?
00:28:55 |c|$TimeZone|that gay Entei loL
00:29:02 |c| zygardes true core|well he had a stally team
00:29:07 |c| zygardes true core|timezone
00:29:11 |c| zygardes true core|yeah
00:29:32 |c| zygardes true core|and he says he didnt have unaware and pretty sure he did
00:29:35 |c| zygardes true core|and stuff
00:29:46 |c| zygardes true core|and now he wont accept a rematch cause he is chickne
00:29:49 |c|$TimeZone|I actually didn't 
00:29:52 |c| zygardes true core|chicken
00:29:53 |c|$TimeZone|I had cute charm 
00:29:56 |c|$TimeZone|Lmao
00:29:56 |c| zygardes true core|sure
00:30:04 |n| yveltalsdoom|zygardestruecore
00:30:05 |c|$TimeZone|he's salty 
00:30:06 |c|$TimeZone|AF
00:30:08 |c|$TimeZone|;)
00:30:11 |c| yveltalsdoom|wow that guys a dick
00:30:36 |c|$TimeZone|Had 3 ez opportunity to sweep
00:30:39 |c|$TimeZone|Your fault 
00:30:40 |c|$TimeZone|;)
00:30:55 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user yveltalsdoom' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A4CDB'>yveltalsdoom:</font></b></button><em class='mine'>timezone go home before i call ur mom to give you your your punishment <img src="http://i364.photobucket.com/albums/oo87/TailsTheFoxPrower/PAPSAV1.gif" title="buttslappichu" width="50" height="50" /></em></div>
00:31:05 |c|$TimeZone|ew 
00:31:07 |n| zygardes true core|yveltalsdoom
00:31:10 |c| zygardes true core|hehehe
00:31:13 |c| zygardes true core|lol
00:31:15 |j| EtherFrog
00:31:17 |c| zygardes true core|thanks yveltalsdoom
00:31:24 |n| yveltalsdoom|zygardestruecore
00:31:28 |c| yveltalsdoom|no prob
00:31:31 |l| EtherFrog
00:31:37 |n| zygardes true core|yveltalsdoom
00:31:43 |c| zygardes true core|hm
00:31:49 |c| zygardes true core|whos etherfrog
00:31:50 |c| zygardes true core|lol
00:33:17 |c| zygardes true core|oops
00:33:19 |c| zygardes true core|wrong one
00:33:21 |c| zygardes true core|crap
00:33:28 |c| zygardes true core|oh well
00:33:31 |c| zygardes true core|cries
00:33:34 |c| zygardes true core|jk
00:33:35 |c| zygardes true core|lol
00:33:45 |c|$TimeZone|ORLY
00:33:49 |c|$TimeZone|Awee 
00:33:52 |c| zygardes true core|i think u mean
00:33:53 |c|$TimeZone|ORLY
00:33:59 |c|$TimeZone|orly
00:34:02 |c| zygardes true core|lol
00:34:04 |c| zygardes true core|u suck
00:34:10 |c|$TimeZone|My owl!
00:34:13 |c|$TimeZone|;(
00:34:20 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user zygardes true core' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#ABA305'>zygardes true core:</font></b></button><em class='mine'><img src="http://vignette3.wikia.nocookie.net/uncyclopedia/images/4/4a/Orly_owl.jpg/revision/latest?cb=20051112001744" title="Orly" width="50" height="50" /></em></div>
00:34:24 |c| zygardes true core|u mean that
00:34:26 |c| zygardes true core|lol
00:34:28 |c| zygardes true core|u so dum
00:34:36 |c| zygardes true core|noob
00:34:54 |c|$TimeZone|but you used unstab dark pulse on clefable...
00:34:57 |c|$TimeZone|im J's
00:35:00 |c| zygardes true core|eh
00:35:00 |c|$TimeZone|Js
00:35:05 |j| Kalaxe♆
00:35:07 |c| zygardes true core|it was a misclik dude
00:35:10 |c| zygardes true core|get over it
00:35:11 |c|$TimeZone|Nah 
00:35:15 |c| zygardes true core|ye
00:35:18 |c|$TimeZone|You didn't say anything at the sane
00:35:20 |c|$TimeZone|Same
00:35:23 |c|$TimeZone|Time*
00:35:24 |c|$TimeZone|Lol
00:35:49 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user zygardes true core' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#ABA305'>zygardes true core:</font></b></button><em class='mine'>time zone get in the bag <img src="https://68.media.tumblr.com/209d1a0a125da03b7afcbd53316374c2/tumblr_ohuza1t4MW1qeb3ulo1_500.gif" title="getinthebag" width="50" height="50" /></em></div>
00:35:54 |c| zygardes true core|lol
00:35:56 |c| zygardes true core|heheehe
00:35:59 |c|$TimeZone|salt 
00:36:03 |c|$TimeZone|I can tell
00:36:04 |c| zygardes true core|ye
00:36:05 |c|$TimeZone|It's OK
00:36:07 |c|$TimeZone|;)
00:36:26 |l| Kalaxe♆
00:37:41 |c|$TimeZone|didn't I tel u
00:37:48 |c|$TimeZone|Only scrubs say noob
00:37:57 |c|$TimeZone|Smh lol
00:43:35 |c| zygardes true core|well then i guess ur a scrub
00:43:39 |c| zygardes true core|cause u said noob
00:43:40 |c| Spirit of Twilight|Rip
00:43:41 |c| zygardes true core|look
00:43:46 |c| Spirit of Twilight|You just said it too lol
