00:01:43 |j| malphasmarx
00:01:47 |c| shwb|what if i run something like psychic+taunt
00:02:20 |c| shwb|would it still be supereffective against darks?
00:02:48 |c| malphasmarx|I kinda wish this server had more rule boxes like the one above so we had a better way to tell what each metagame does.
00:03:03 |c| shwb|^
00:03:15 |c|%EchoGaia|i think status moves would only work for the 4th and 2nd slots
00:03:16 |c|%EchoGaia|so yeah
00:03:24 |c|%EchoGaia|>which is logical
00:03:48 |c| shwb|in i'm saying psychic in the first slot and taunt in the 4th slot
00:03:51 |c| shwb|k*
00:03:53 |c| shwb|ik*
00:03:56 |l| Scaris Saiyan Lord
00:04:00 |c|%EchoGaia|so yeah
00:04:09 |c|%EchoGaia|psychic would hit darks super effectively
00:04:23 |c| shwb|that's fuego
00:04:34 |c|%EchoGaia|yeah
00:04:38 |c|%EchoGaia|poor muk alola...
00:05:01 |c|%EchoGaia|you would have to build differently in this meta
00:05:23 |c|%EchoGaia|taking into account what coverage you want and what you'll run in the 2nd slot
00:05:37 |c| shwb|https://pastebin.com/D6VgRTZE
00:06:07 |c|%EchoGaia|oh i was wondering why you still needed focus blast but yeah
00:06:09 |c|%EchoGaia|steel types
00:06:20 |c|%EchoGaia|good set btw
00:06:33 |c| shwb|yeah i'm just thinking of stuff rn
00:06:37 |c| shwb|thx
00:06:40 |c|%EchoGaia|np
00:07:28 |c|%EchoGaia|Lando T: EQ, U turn, filler, Fly
00:07:41 |c| shwb|yeah i saw that 
00:07:42 |c|%EchoGaia|ground super effective against Flying is neat
00:07:44 |c| shwb|rip celesteela
00:07:47 |c|%EchoGaia|yeah
00:07:49 |c|%EchoGaia|and skarm
00:11:30 |c|%EchoGaia|what about
00:11:33 |c|%EchoGaia|zard X
00:11:45 |c| shwb|i have y and x up right now lol
00:11:47 |c|%EchoGaia|which
00:11:53 |c| shwb|x seems a bit better
00:12:00 |c|%EchoGaia|well
00:12:03 |c|%EchoGaia|to hit azu
00:12:12 |c|%EchoGaia|you have to run HP Water
00:12:16 |c|%EchoGaia|which is really bad
00:12:57 |c|%EchoGaia|tho i guess you run a steel move to hit Heatran with dragon moves?
00:14:12 |c| shwb|lol https://pastebin.com/CRUGMvae
00:14:33 |c| shwb|wall'd by tran
00:14:37 |c|%EchoGaia|yeah
00:14:48 |c| shwb|but easily built around
00:14:48 |c|%EchoGaia|it's not that easy you saw
00:15:31 |j| beep beep salade
00:15:36 |c| shwb|that thing is a threat though
00:16:00 |c|%EchoGaia|yes defintely
00:16:03 |c| shwb|zard+lando
00:16:07 |c|%EchoGaia|yeah
00:16:24 |c|%EchoGaia|oh god
00:16:34 |c|%EchoGaia|Excadrill no longer walled by Skarm
00:16:51 |c|%EchoGaia|without actually running a bad move since steel is one of its STABs
00:16:52 |c| shwb|heck run dd flare blitz zard y that could be fun
00:16:55 |c| shwb|yeah i saw that too
00:17:21 |c| shwb|eq+ironhead
00:17:28 |c|%EchoGaia|at least
00:17:38 |c|%EchoGaia|you can maybe run SD in the second slot
00:17:52 |c|%EchoGaia|if eq is resisted by normal you still have iron head
00:18:02 |c| shwb|^
00:18:24 |c|%EchoGaia|>Pyroar
00:18:32 |c|%EchoGaia|>Rock Slide
00:18:34 |c|%EchoGaia|:)
00:18:58 |c|%EchoGaia|so yeah only a normal/steel would wall, but hopefully that doesn't exist
00:19:04 |c|%EchoGaia|>Bibarel can wall though
00:19:12 |c|%EchoGaia|>but who runs Bibarel
00:19:21 |c| shwb|LOL
00:20:00 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user beep beep salade' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#DB36BF'>beep beep salade:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
00:20:02 |l| beep beep salade
00:20:11 |raw|<div class='chat'><small>%</small><button name='parseCommand' value='/user Winona' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#8CA924'>Winona:</font></b></button><em class='mine'><img src="http://i.imgur.com/ljl6Sfd.png" title="feelsrip" width="50" height="50" /></em></div>
00:20:12 |c|%EchoGaia|...k
00:20:17 |c|%EchoGaia|oh god
00:20:20 |c|%EchoGaia|winona is alive
00:20:28 |c|%Winona|Yup 
00:20:31 |c|%Winona|But i'm useless
00:20:39 |c|%Winona|And i don't know what to say
00:20:44 |l| malphasmarx
00:20:48 |c|%Winona|Except gimmicks in SQ
00:20:52 |c|%EchoGaia|try theorymoning on my new OM then
00:20:53 |c|%EchoGaia|XD
00:21:03 |c|%Winona|Oh, nice idea
00:21:17 |c|%Winona|Thanks
00:21:21 |c|%EchoGaia|np
00:21:39 |c| gmfc⚠️|shadow ball noiv seems decent
00:21:43 |c|%EchoGaia|yeah
00:22:05 |c|%EchoGaia|gives it like a better scrappy
00:22:56 |c| gmfc⚠️|wait 
00:22:58 |c|%EchoGaia|electric is resisted by grass, dragon, themselves and ground are immune
00:23:08 |c|%EchoGaia|hmm
00:23:09 |c| gmfc⚠️|now that im thinking about it, would it actually hit ghost types?
00:23:15 |c|%EchoGaia|yes
00:23:39 |c| gmfc⚠️|ah ok
00:23:48 |c| gmfc⚠️|so you can negate immunities
00:23:54 |c|%EchoGaia|that's why what i said earlier was wrong
00:24:03 |c| gmfc⚠️|gotcha
00:24:06 |c|%EchoGaia|the new effectiveness remplaces the old one
00:24:11 |c|%EchoGaia|doesn't stack
00:24:29 |c| shwb|https://pastebin.com/9mXDXuw9 viable?
00:24:55 |c| gmfc⚠️|is it just for dmging moves?
00:25:05 |c| shwb|nah status moves work too
00:25:10 |c|%EchoGaia|well
00:25:18 |c| gmfc⚠️|stall seems decent then
00:25:20 |c|%EchoGaia|that manaphy still gets a hard time with dragons
00:25:27 |c| shwb|yeah ik ^
00:25:40 |c|%EchoGaia|good otherwise
00:25:40 |l| gmfc⚠️
00:25:42 |c| shwb|but i won't just have mana on my team yk
00:25:47 |c|%EchoGaia|i know
00:27:52 |c|%EchoGaia|Xurkitree would prefer keeping Energy Ball so its Electric moves hurt Grass types or using Hp Ground so they can hurt Ground types instead and put energy ball on the second slot hmm
00:31:48 |c| shwb|kartana https://pastebin.com/rTi14A7t
00:32:11 |c|%EchoGaia|so skarm takes neutral damage 
00:32:20 |c|%EchoGaia|hmm yeah decent
00:33:11 |c| shwb|i thought of smart strike in 4th
00:33:14 |c| shwb|but it's kinda bad
00:33:19 |c| shwb|not really
00:33:22 |c| shwb|u can switch them up
00:36:25 |c|%EchoGaia|yeah
00:36:48 |c|%EchoGaia|wouldn't change for skarm though
00:36:55 |c|%EchoGaia|still neutral damage
00:37:55 |c|%Winona|Oh, i like that idea
00:38:40 |c|%Winona|Psyshock + Taunt Tapu Lele looks nice here
00:39:25 |l|%Winona
00:44:25 |c|%EchoGaia|yeah
00:44:58 |c| shwb|https://pastebin.com/0CTbZGJK
00:47:04 |c|%EchoGaia|hmm
00:47:10 |c|%EchoGaia|walled by heatran sadly
00:47:12 |userstats|total:6|guests:0| :3|+:0|$:0|%:1|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
00:47:18 |c| shwb|plus 2  bone?
00:47:29 |c| shwb|yeah nvm
00:47:32 |c|%EchoGaia|since you put iron head in the second slot
00:47:37 |c|%EchoGaia|steel is gonna resist ghost
00:47:45 |c|%EchoGaia|i mean shadow bone
00:48:19 |c| shwb|im trying to use alolan mons
00:48:25 |c| shwb|but they're all bad
00:49:04 |c| shwb|hp ground koko?
00:49:04 |c|%EchoGaia|yeah sadly
00:49:22 |c|%EchoGaia|yeah Hp ground with an unblockable Volt switch?
00:49:42 |c|%EchoGaia|would you buff thunderbolt or volt switch
00:49:46 |c|%EchoGaia|good question
00:50:11 |c| shwb|tbolt
00:52:35 |c|%EchoGaia|yeah i guess
00:52:44 |c| shwb|https://pastebin.com/a8WzkjrR
00:52:49 |j| Scaris Saiyan Lord
00:53:04 |c|%EchoGaia|LOl you buff Volt switch
00:53:16 |c|%EchoGaia|you tricked me haha
00:53:37 |c| shwb|LOL
00:53:44 |l| Scaris Saiyan Lord
00:53:52 |c|%EchoGaia|on the second set
00:54:06 |c|%EchoGaia|you should put thunderbolt on the 1st slot
00:54:09 |c|%EchoGaia|cause you run U turn
00:54:20 |c| shwb|yeah that works as well
00:55:02 |c|%EchoGaia|ye
00:55:19 |c| shwb|grass knot? uturn
00:55:26 |c|%EchoGaia|both work
00:55:40 |c|%EchoGaia|being resisted by Grass (which changes nothing) or by bug
00:55:53 |c| shwb|tbolt,grassknot,uturn,hpground
00:56:05 |c|%EchoGaia|yah that works too
00:56:17 |c|%EchoGaia|rip Gastrodon
00:56:22 |c|%EchoGaia|Rip Quagsire
00:56:27 |c|%EchoGaia|Rip lando
00:56:31 |c|%EchoGaia|Rip Gliscor
00:56:44 |c|%EchoGaia|all four take x4 damage on electric
00:56:50 |c|%EchoGaia|from your tapu koko set
00:57:14 |c|%EchoGaia|also in this meta
00:57:22 |c|%EchoGaia|playing on abilities will be important
00:57:32 |c|%EchoGaia|cause the meta won't negate them
00:57:54 |c|%EchoGaia|so you could still use abilities like Volt Absorb or Levitate
00:57:56 |c| shwb|terrain boosted specs tbolts
00:58:00 |c|%EchoGaia|yeah
00:58:13 |c| shwb|also rip garchomp
00:58:17 |c|%EchoGaia|>Gotta bring Volt Absorb Lanturn or Jolteon
00:58:20 |c| shwb|LOL
00:58:40 |c|%EchoGaia|also
00:59:08 |c|%EchoGaia|with Lando negating flying immunity to Ground its best counter becomes.... Bronzong? nope Knock off
00:59:29 |c| shwb|^
01:06:30 |c| shwb|hmmm
01:06:42 |c| shwb|rip skarm?  https://pastebin.com/wnVUUb82
01:08:20 |c|%EchoGaia|yah rip skarm
01:13:37 |c| shwb|https://pastebin.com/Mn1WcbSz
01:14:28 |c| shwb|u can rn bp for faires really
01:14:39 |c| shwb|but it doens't really counter fairies
01:14:42 |c| shwb|but it's still nice
01:15:12 |c| shwb|but this thing becomes a monster
01:15:23 |c| shwb|it will always be walled by ghosts
01:15:37 |c| shwb|unless u wanna run shadow ball
01:15:57 |c| shwb|i bet some people would 
01:15:58 |c| shwb|LOL
01:16:41 |c| shwb|hjk,fake out,icepunch,shadowball
01:27:14 |l|%EchoGaia
01:47:12 |userstats|total:5|guests:0| :3|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
02:06:43 |j| SomaFriendlies
02:06:52 |n| Scripter Vexel|somafriendlies
02:08:49 |j| pyronig
02:09:42 |n| faTTT|pyronig
02:09:56 |c| faTTT|did u guys fix frantic fusions
02:16:19 |j| MaveAdder2
02:18:42 |l| Scripter Vexel
02:20:06 |c| faTTT|nope
02:20:11 |c| faTTT|fixx frantic fusion!!!!!
02:20:22 |l| faTTT
02:23:02 |l| shwb
02:31:43 |j| piikiki4
02:38:22 |j| shwb
02:47:12 |userstats|total:7|guests:0| :5|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
03:06:25 |j| Scribblium
03:12:14 |l| Scribblium
03:20:48 |j| B.R.A.A.D CITY
03:22:32 |j| MaveAdder
03:42:40 |l| MaveAdder
03:47:12 |userstats|total:8|guests:0| :6|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
03:50:56 |l| piikiki4
03:52:59 |l| B.R.A.A.D CITY
03:58:49 |l| BatSol
04:01:53 |l| MaveAdder2
04:10:42 |j| BatSol
04:11:28 |j| geerat
04:13:04 |n| Cutest Togepi♥♥|geerat
04:19:09 |l| shwb
04:19:17 |l| Cutest Togepi♥♥
04:19:19 |j| shwb
04:20:48 |j| Cutest Togepi♥♥
04:21:17 |n| geerat|cutesttogepi
04:28:02 |j| Jr Unicorn
04:35:17 |j|@Alpha shivam
04:35:17 |c|*BatterBotto|welcome back Shivam, nice to see you again
04:35:20 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Alpha shivam' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#127FAB'>Alpha shivam:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
04:35:34 |c|@Alpha shivam|Geerat iit roorkee 
04:35:41 |c|@Alpha shivam|How ru 
04:35:46 |c|@Alpha shivam|How is iit roorkee 
04:35:53 |c| Jr Unicorn|hi
04:35:57 |c|@Alpha shivam|Hi 
04:36:02 |c|@Alpha shivam|Sup unicorn 
04:36:08 |c| Jr Unicorn|not much
04:36:22 |c| geerat|yo
