00:15:41 |j|+OutrageousBoT
00:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
01:19:31 |j|@BBgun999 ⚡
01:19:37 |l|@BBgun999 ⚡
01:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
02:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
03:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
04:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
05:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
06:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
07:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
08:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
09:30:17 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
09:47:04 |j| Scribblium
09:47:20 |l| Scribblium
09:47:36 |j| Scribblium
09:49:31 |n| ShinyIsCool|scribblium
09:56:02 |l| ShinyIsCool
10:04:22 |j| ShinyIsCool
10:15:34 |l| ShinyIsCool
10:19:01 |j| ShinyIsCool
10:19:02 |n| Scribblium|shinyiscool
10:30:17 |userstats|total:2|guests:0| :1|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
10:40:40 |l| Scribblium
10:41:06 |j| Scribblium
10:46:15 |l| Scribblium
11:02:48 |raw|<div class="broadcast-red"><b>The server is restarting soon.</b><br />Please finish your battles quickly. No new battles can be started until the server resets in a few minutes.</div>
11:04:14 NEW CHATROOM: trademarked
11:05:35 |j|+OutrageousBoT
12:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
12:48:33 |j| Scribblium
12:50:44 |l| Scribblium
13:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
14:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
15:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
16:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
16:12:38 |j| Raibolt
16:12:39 |l| Raibolt
17:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
18:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
19:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
20:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
21:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
22:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
23:04:14 |userstats|total:1|guests:0| :0|+:1|$:0|%:0|@:0|*:0|★:0|#:0|&:0|~:0|⚔:0
